Time,A0
0,458
10,458
20,458
30,458
40,458
51,458
62,459
72,458
82,458
93,458
103,458
113,458
123,458
135,458
145,458
155,458
165,458
176,458
187,458
197,458
207,458
218,458
228,458
238,458
249,458
260,458
270,458
280,458
290,458
302,458
312,458
322,458
332,458
343,458
353,458
364,458
374,458
385,458
395,458
405,458
416,458
427,459
437,458
447,458
457,458
467,458
479,458
489,458
499,458
509,458
520,458
530,458
541,458
551,458
562,458
572,458
582,458
593,458
604,458
614,458
624,458
634,458
645,458
656,458
666,458
676,458
687,458
697,458
708,458
718,458
729,458
739,458
749,458
759,458
771,458
781,458
791,458
801,458
812,458
823,458
833,458
843,458
854,458
864,458
874,458
885,458
896,458
906,458
916,458
926,458
937,458
948,458
958,458
968,458
978,458
989,458
1000,458
1010,458
1020,458
1031,458
1041,458
1052,458
1062,458
1073,458
1083,458
1094,458
1104,458
1115,458
1125,458
1135,458
1146,458
1157,458
1167,458
1177,458
1188,458
1199,458
1209,458
1219,458
1229,458
1241,458
1251,458
1261,458
1271,458
1283,458
1293,458
1303,457
1313,458
1324,458
1335,458
1345,458
1355,458
1366,458
1377,458
1387,458
1397,458
1408,458
1418,458
1429,458
1439,458
1449,458
1460,458
1471,457
1481,458
1491,458
1502,457
1512,458
1523,458
1533,458
1544,458
1554,458
1565,458
1575,458
1586,458
1596,458
1606,458
1617,458
1628,458
1638,458
1648,458
1659,457
1670,458
1680,458
1690,457
1700,458
1712,458
1722,458
1732,458
1742,458
1754,458
1764,458
1774,458
1784,458
1795,458
1806,457
1816,458
1826,458
1837,457
1848,458
1858,458
1868,458
1879,458
1889,457
1900,458
1910,458
1921,458
1931,458
1942,457
1952,458
1963,458
1973,458
1983,458
1994,458
2004,458
2015,458
2025,457
2036,458
2046,458
2057,458
2067,458
2077,458
2088,458
2099,458
2109,457
2119,458
2130,458
2141,457
2151,457
2161,458
2171,458
2183,458
2193,458
2203,457
2213,458
2225,458
2235,458
2245,458
2255,458
2266,458
2277,458
2287,457
2297,458
2308,458
2319,458
2329,458
2339,457
2350,458
2360,458
2371,457
2381,458
2392,458
2402,457
2413,458
2423,458
2434,458
2444,458
2454,458
2465,457
2476,458
2486,457
2496,458
2507,458
2518,457
2528,458
2538,458
2548,458
2560,458
2570,458
2580,458
2590,457
2601,458
2612,458
2622,457
2632,458
2642,458
2654,458
2664,458
2674,458
2684,458
2696,458
2706,458
2716,457
2726,458
2737,457
2748,458
2758,458
2768,457
2779,458
2790,457
2800,458
2810,458
2821,458
2831,458
2842,458
2852,457
2863,458
2873,457
2884,457
2894,458
2905,458
2915,457
2925,458
2936,457
2947,458
2957,457
2967,458
2978,458
2989,458
2999,458
3009,457
3019,457
3031,458
3041,458
3051,458
3061,457
3073,457
3083,458
3093,458
3103,458
3113,457
3125,457
3135,457
3145,458
3155,457
3167,458
3177,457
3187,458
3197,458
3208,458
3219,457
3229,458
3239,457
3250,457
3261,458
3271,458
3281,458
3292,458
3302,458
3313,458
3323,457
3334,458
3344,457
3355,458
3365,458
3376,458
3386,458
3396,458
3407,457
3418,458
3428,458
3438,458
3449,458
3460,458
3470,458
3480,458
3490,458
3502,458
3512,458
3522,458
3532,458
3544,458
3554,458
3564,458
3574,458
3585,458
3596,458
3606,458
3616,459
3627,459
3638,459
3648,459
3658,459
3668,459
3679,459
3690,459
3700,460
3710,460
3721,460
3732,460
3742,460
3752,461
3763,461
3773,461
3784,461
3794,462
3805,462
3815,462
3826,462
3836,462
3847,463
3857,463
3867,463
3878,464
3889,463
3899,464
3909,464
3920,464
3931,465
3941,465
3951,465
3961,465
3973,466
3983,466
3993,466
4003,466
4015,467
4025,467
4035,467
4045,467
4056,467
4067,468
4077,468
4087,468
4098,469
4109,469
4119,469
4129,469
4140,469
4150,470
4161,470
4171,470
4182,470
4192,471
4203,471
4213,471
4224,471
4234,471
4244,472
4255,472
4265,472
4276,473
4286,473
4297,473
4307,473
4318,473
4328,474
4338,474
4349,474
4360,474
4370,475
4380,475
4391,475
4402,475
4412,476
4422,476
4432,476
4444,477
4454,476
4464,477
4474,477
4486,477
4496,478
4506,478
4516,478
4527,478
4538,479
4548,479
4558,479
4569,479
4580,479
4590,480
4600,480
4611,480
4621,481
4632,481
4642,481
4653,481
4663,481
4674,481
4684,482
4695,482
4705,482
4715,483
4726,483
4737,483
4747,484
4757,483
4768,484
4779,484
4789,484
4799,486
4809,485
4820,484
4831,486
4841,485
4851,486
4862,486
4873,485
4883,488
4893,487
4903,486
4915,489
4925,488
4935,488
4945,488
4957,488
4967,489
4977,489
4987,488
4998,491
5009,490
5019,490
5029,490
5040,490
5051,491
5061,491
5071,490
5082,493
5092,492
5103,492
5113,493
5124,492
5134,493
5145,493
5155,492
5166,495
5176,493
5186,493
5197,495
5208,493
5218,496
5228,495
5239,495
5250,497
5260,495
5270,494
5280,497
5292,496
5302,496
5312,497
5322,497
5334,498
5344,497
5354,496
5364,499
5374,498
5386,498
5396,499
5406,498
5416,499
5428,499
5438,498
5448,502
5458,499
5469,499
5480,500
5490,499
5500,501
5511,501
5522,499
5532,501
5542,501
5553,500
5563,502
5574,501
5584,502
5595,502
5605,501
5616,503
5626,502
5637,502
5647,504
5657,503
5668,503
5679,503
5689,503
5699,504
5710,503
5721,503
5731,505
5741,504
5751,504
5763,506
5773,504
5783,505
5793,506
5805,504
5815,506
5825,505
5835,505
5846,507
5857,505
5867,507
5877,507
5888,505
5899,508
5909,507
5919,506
5929,508
5940,507
5951,508
5961,508
5971,506
5982,508
5993,508
6003,507
6013,510
6024,509
6034,508
6045,509
6055,509
6066,509
6076,509
6087,508
6097,510
6108,510
6118,509
6128,510
6139,510
6150,511
6160,511
6170,509
6181,511
6192,510
6202,510
6212,512
6222,511
6234,511
6244,511
6254,510
6264,513
6276,511
6286,511
6296,513
6306,511
6317,512
6328,513
6338,512
6348,513
6359,513
6370,511
6380,514
6390,512
6401,513
6411,513
6422,513
6432,514
6443,514
6453,512
6464,515
6474,514
6484,512
6495,514
6505,514
6516,515
6526,515
6537,514
6547,516
6558,514
6568,514
6579,515
6589,515
6599,515
6610,515
6621,515
6631,517
6641,515
6652,515
6663,517
6673,516
6683,515
6693,516
6705,516
6715,517
6725,517
6735,515
6747,518
6757,517
6767,516
6777,517
6788,516
6799,517
6809,517
6819,516
6830,518
6841,517
6851,517
6861,518
6872,517
6882,519
6893,517
6903,518
6914,520
6924,518
6935,518
6945,519
6956,518
6966,519
6976,519
6987,518
6998,519
7008,520
7018,518
7029,520
7040,519
7050,520
7060,519
7071,519
7081,520
7092,520
7102,517
7112,522
7123,520
7134,520
7144,521
7154,520
7165,520
7176,520
7186,520
7196,522
7206,521
7218,520
7228,521
7238,521
7248,522
7260,521
7270,520
7280,523
7290,521
7301,520
7312,522
7322,522
7332,522
7343,522
7354,521
7364,523
7374,522
7385,521
7395,524
7406,522
7416,522
7427,523
7437,523
7448,523
7458,523
7469,521
7479,524
7489,522
7500,523
7511,523
7521,522
7531,525
7542,523
7553,522
7563,524
7573,523
7583,523
7595,524
7605,524
7615,525
7625,524
7636,522
7647,525
7657,524
7667,523
7677,525
7689,524
7699,524
7709,524
7719,524
7731,525
7741,525
7751,523
7761,526
7773,525
7783,525
7793,525
7803,525
7814,525
7825,524
7835,524
7845,526
7856,525
7867,525
7877,526
7887,525
7898,525
7908,527
7919,525
7929,527
7940,526
7950,526
7961,526
7971,525
7982,527
7992,527
8002,524
8013,528
8024,526
8034,525
8044,528
8055,526
8066,527
8076,528
8086,526
8096,528
8108,527
8118,526
8128,528
8138,527
8150,527
8160,528
8170,528
8180,527
8190,527
8202,526
8212,528
8222,528
8232,527
8244,528
8254,528
8264,529
8274,527
8285,527
8296,530
8306,528
8316,527
8327,529
8338,529
8348,528
8358,528
8369,527
8379,529
8390,529
8400,528
8411,529
8421,528
8432,528
8442,529
8453,529
8463,529
8473,529
8484,528
8495,531
8505,529
8515,529
8526,530
8537,529
8547,530
8557,529
8567,529
8579,530
8589,530
8599,529
8609,531
8621,530
8631,530
8641,530
8651,529
8662,532
8673,530
8683,530
8693,531
8704,529
8715,530
8725,531
8735,529
8745,532
8756,530
8767,530
8777,532
8787,530
8798,530
8809,531
8819,530
8829,532
8840,532
8850,530
8861,533
8871,531
8882,531
8892,532
